"nama","harga","ranting","fasilitas"
"Kost Graha Pandawa Tipe Family 2 Beji Depok","Rp1.500.000","","K. Mandi Dalam ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Tofu Dharma Beji Depok","Rp750.000","","Wajib lampirkan KTP saat check-in (sewa harian) ·Harga termasuk listrik (sewa harian) ·Tanpa deposit (sewa harian) ·K. Mandi Dalam ·WiFi ·Kasur"
"Kost Bubbles 2 Tipe A Beji Depok","Rp1.000.000","","Harga termasuk listrik (sewa harian) ·Pasutri wajib membawa surat nikah (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·WiFi ·AC ·Kasur ·Akses 24 Jam"
"Kost Sisesa House Tipe C Beji Depok","Rp1.400.000","4.8","K. Mandi Dalam ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Sisesa House Tipe A Beji Depok","Rp1.300.000","4.0","K. Mandi Dalam ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Puri Pamaan 53 VVIP Cimanggis Depok","Rp1.200.000","","WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Batavia Mansion Jagakarsa Jakarta Selatan","Rp1.500.000","5.0","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Nugie III Beji Depok","Rp1.300.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Pondok Nunitta Beji Depok","Rp1.575.000","5.0","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Nugie II Tipe A Beji Depok","Rp1.300.000","4.2","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Puri Melati Tipe B Beji Depok","Rp1.600.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Mutiara Beji Depok","Rp800.000","","K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
"Kost Puri Melati Tipe A Beji Depok","Rp1.000.000","4.3","Harga termasuk listrik (sewa harian) ·K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
"Kost Eksklusif Mara Juara Tipe Reguler Bedroom Beji Depok","Rp1.699.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Green Camp38 Tipe A Beji Depok","Rp700.000","","Harga termasuk listrik (sewa harian) ·K. Mandi Dalam ·Kasur ·Akses 24 Jam"
"Kost Wisma 9999 Tipe A  Beji Depok","Rp750.000","","K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam"
"Kost Kodja 25 Beji Depok","Rp1.400.000","","K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
"Kost Ibu Dewi Lestari Tipe A Beji Depok","Rp1.100.000","","K. Mandi Dalam ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Apik Wisma Okki Tipe B Beji Depok","Rp1.008.000","","K. Mandi Dalam ·WiFi ·Kasur"
"Kost Singgahsini Alhidayah EMH-4 Tipe B  Beji Depok","Rp1.249.500","5.0","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik UI Tidar Tipe A Beji Depok","Rp670.500","","K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam"
"Kost Apik UI Arya Tipe A Kukusan Beji Depok","Rp1.233.000","4.3","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik Homey Beji Tipe B UI Depok","Rp1.008.000","5.0","WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Singgahsini PIM Margonda Raya Beji Depok","Rp1.548.000","4.6","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Apik Salak 5 Margonda Tipe A Beji Depok","Rp1.278.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik Salak 5 Margonda Tipe B Beji Depok","Rp828.000","","K. Mandi Dalam ·WiFi ·Kloset Duduk ·Kasur"
"Kost Apik Dedet 20 Tipe A Beji Depok","Rp832.500","","WiFi ·Kloset Duduk ·Kasur"
"Kost Apik Griya Osfa UI Tipe A Beji Depok","Rp1.368.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik Duta Margonda Tipe B Beji Depok","Rp2.357.100","","K. Mandi Dalam ·AC ·Kloset Duduk ·Kasur"
"Kost Apik UI Puspita  Tipe A Kukusan Beji Depok","Rp1.470.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Singgahsini Alhidayah EMH-4 Tipe A  Beji Depok","Rp1.870.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik UI Puspita  Tipe B Kukusan Beji Depok","Rp1.370.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur"
"Kost Apik Griya Sentosa Tugu Indah Tipe B Cimanggis Depok","Rp895.000","4.8","K. Mandi Dalam ·Kloset Duduk ·Kasur"
"Kost Apik Duta Margonda Tipe A Beji Depok","Rp1.296.000","4.4","K. Mandi Dalam ·AC ·Kloset Duduk ·Kasur"
"Kost Apik Pondok 21 Tipe B Beji Depok","Rp1.720.000","4.2","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Apik Pondok 21 Tipe D Beji Depok","Rp1.620.000","","WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Apik Pondok 21 Tipe C Beji Depok","Rp3.035.000","","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Apik Homey Beji Tipe A UI Depok","Rp1.143.000","4.8","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Apik Homey Beji Tipe A UI Depok","Rp1.143.000","4.8","K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Pondok 21 Tipe E Beji Depok","Rp2.200.000","","Check-in pukul 14:00-21:00 (sewa harian) ·Check-out maks. pukul 12:00 (sewa harian) ·Harga termasuk listrik (sewa harian) ·Pasutri wajib membawa surat nikah (sewa harian) ·Tanpa deposit (sewa harian) ·Tidak bisa DP (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Pondok 21 Tipe A Single AC Beji Depok","Rp1.700.000","","Check-in pukul 14:00-21:00 (sewa harian) ·Check-out maks. pukul 12:00 (sewa harian) ·Harga termasuk listrik (sewa harian) ·Tanpa deposit (sewa harian) ·Tidak bisa DP (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
"Kost Pondok 21 Tipe Single Room AC Beji Depok","Rp1.600.000","","Check-in pukul 14:00-21:00 (sewa harian) ·Check-out maks. pukul 12:00 (sewa harian) ·Harga termasuk listrik (sewa harian) ·Tanpa deposit (sewa harian) ·Tidak bisa DP (sewa harian) ·Wajib lampirkan KTP saat check-in (sewa harian) ·K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam"
